"","sa","sb","n","a1","a2","a3","a4","a5","b1","b2","dsa","dsb","Freq"
"280",53,18,15147,1,2,13,18,19,8,10,-43,3,1
"110",110,17,15148,8,11,27,31,33,8,9,57,-1,2
"311",60,10,15149,4,6,10,12,28,2,8,-50,-7,2
"657",93,10,15150,4,13,18,25,33,3,7,33,0,3
"146",114,8,15151,15,16,18,30,35,1,7,21,-2,1
"690",95,13,15152,4,5,22,29,35,2,11,-19,5,5
"624",90,13,15153,1,7,22,27,33,2,11,-5,0,2
"464",77,15,16001,1,7,19,20,30,5,10,-13,2,2
"728",97,16,16002,7,12,18,25,35,7,9,20,1,2
"503",81,13,16003,4,12,17,22,26,6,7,-16,-3,3
"182",120,19,16004,10,20,23,32,35,9,10,39,6,1
"325",62,19,16005,6,9,12,15,20,8,11,-58,0,1
"661",93,11,16006,14,16,17,22,24,2,9,31,-8,3
"609",88,4,16007,2,5,14,32,35,1,3,-5,-7,1
"166",117,9,16008,5,12,31,34,35,4,5,29,5,1
"315",60,14,16009,5,8,10,17,20,2,12,-57,5,2
"558",84,7,16010,12,13,15,16,28,2,5,24,-7,1
"298",58,15,16011,2,8,10,15,23,5,10,-26,8,2
"431",74,15,16012,5,7,11,23,28,3,12,16,0,1
"132",113,13,16013,3,21,23,31,35,2,11,39,-2,3
"577",86,12,16014,6,8,21,24,27,2,10,-27,-1,1
"297",58,12,16015,1,4,10,13,30,3,9,-28,0,1
"714",96,7,16016,3,10,22,29,32,2,5,38,-5,4
"109",110,15,16017,11,18,24,28,29,5,10,14,8,1
"606",88,19,16018,5,10,13,27,33,8,11,-22,4,1
"453",76,17,16019,4,11,15,20,26,8,9,-12,-2,1
"735",98,11,16020,1,16,22,29,30,2,9,22,-6,3
"307",59,20,16021,1,4,9,10,35,9,11,-39,9,1
"89",108,13,16022,4,18,21,30,35,2,11,49,-7,2
"487",79,17,16023,4,9,14,25,27,6,11,-29,4,2
"253",47,12,16024,1,2,11,15,18,4,8,-32,-5,1
"385",69,17,16025,3,6,13,23,24,7,10,22,5,1
"34",101,8,16026,2,6,29,30,34,1,7,32,-9,3
"428",73,8,16027,6,11,13,15,28,2,6,-28,0,1
"72",105,9,16028,13,18,20,23,31,3,6,32,1,1
"223",134,17,16029,20,26,27,29,32,5,12,29,8,1
"121",112,10,16030,10,19,21,29,33,4,6,-22,-7,1
"726",97,15,16031,3,14,24,27,29,4,11,-15,5,1
"510",81,17,16032,5,9,14,20,33,5,12,-16,2,1
"743",98,19,16033,3,14,15,31,35,9,10,17,2,1
"213",130,19,16034,14,18,31,32,35,9,10,32,0,1
"163",117,21,16035,17,22,24,25,29,9,12,-13,2,1
"106",109,9,16036,7,15,26,30,31,3,6,-8,-12,3
"491",79,8,16037,3,5,13,24,34,3,5,-30,-1,1
"374",67,17,16038,3,7,9,15,33,5,12,-12,9,1
"448",75,9,16039,1,8,16,22,28,4,5,8,-8,1
"227",136,7,16040,20,22,29,30,35,1,6,61,-2,1
"183",120,9,16041,12,23,24,27,34,3,6,-16,2,1
"309",59,7,16042,2,6,8,19,24,1,6,-61,-2,1
"666",93,21,16043,1,9,16,33,34,9,12,34,14,1
"379",68,16,16044,1,6,10,20,31,5,11,-25,-5,1
"73",106,10,16045,7,11,25,30,33,2,8,38,-6,1
"112",110,20,16046,3,19,22,32,34,8,12,4,10,1
"615",89,14,16047,2,3,23,29,32,5,9,-21,-6,1
"566",85,14,16048,4,12,17,25,27,4,10,-4,0,3
"409",72,13,16049,3,4,5,27,33,4,9,-13,-1,2
"104",109,9,16050,7,17,21,29,35,4,5,37,-4,3
"203",126,15,16051,16,21,23,34,32,7,8,17,6,1
"680",94,21,16052,8,14,19,20,33,10,11,-32,6,2
"731",97,8,16053,4,13,15,30,35,3,5,3,-13,1
"373",67,13,16054,2,5,9,21,30,6,7,-30,5,2
"168",118,13,16055,6,21,27,30,34,4,9,51,0,1
"47",102,9,16056,10,12,14,31,35,4,5,-16,-4,4
"721",97,11,16057,8,17,19,23,30,3,8,-5,2,3
"565",85,14,16058,2,15,17,23,28,5,9,-12,3,3
"5",100,12,16059,2,10,27,28,33,5,7,15,-2,2
"640",91,19,16060,2,6,22,27,34,8,11,-9,7,1
"570",85,19,16061,9,15,17,21,23,7,12,-6,0,3
"449",76,10,16062,2,10,14,15,35,1,9,-9,-9,2
"58",104,14,16063,8,12,22,27,35,5,9,28,4,1
"363",66,16,16064,1,2,10,18,35,5,11,-38,2,2
"435",74,23,16065,1,9,18,22,24,11,12,8,7,1
"217",131,16,16066,10,28,29,31,33,5,11,57,-7,1
"274",53,10,16067,2,8,11,13,19,2,8,-78,-6,2
"678",94,19,16068,5,7,22,26,34,7,12,41,9,2
"49",103,11,16069,14,17,19,23,30,2,9,9,-8,1
"359",66,12,16070,2,9,13,19,23,5,7,-37,1,3
"699",95,19,16071,8,15,19,20,33,7,12,29,7,2
"157",117,13,16072,16,20,24,26,31,4,9,22,-6,2
"619",89,18,16073,7,14,17,24,27,8,10,-28,5,1
"241",38,11,16074,1,5,7,11,14,3,8,-51,-7,1
"497",80,20,16075,3,7,17,22,31,8,12,42,9,1
"382",69,11,16076,3,8,10,17,31,5,6,-11,-9,1
"574",85,7,16077,9,11,14,16,35,2,5,16,-4,3
"180",120,16,16078,7,18,29,31,35,5,11,35,9,1
"534",83,15,16079,7,14,15,20,27,5,10,-37,-1,4
"207",127,19,16080,15,20,29,30,33,7,12,44,4,1
"561",85,11,16081,6,7,18,21,33,3,8,-42,-8,1
"648",91,9,16082,3,8,23,28,29,2,7,6,-2,2
"541",83,6,16083,1,5,9,33,35,1,5,-8,-3,1
"719",96,9,16084,8,12,15,26,35,1,8,13,3,2
"175",119,8,16085,14,15,27,31,32,1,7,23,-1,1
"568",85,16,16086,3,5,22,25,30,7,9,-34,8,1
"551",84,16,16087,3,16,17,23,25,7,9,-1,0,1
"604",88,17,16088,4,16,17,21,30,6,11,4,1,2
"11",100,17,16089,7,14,17,28,34,7,10,12,0,3
"478",78,19,16090,4,6,8,28,32,7,12,-22,2,2
"501",81,10,16091,8,13,17,21,22,2,8,3,-9,1
"135",113,18,16092,2,13,31,33,34,7,11,32,8,1
"601",88,13,16093,1,8,14,30,35,6,7,-25,-5,4
"360",66,12,16094,1,14,16,17,18,5,7,-22,-1,3
"482",78,9,16095,8,12,18,19,21,3,6,12,-3,1
"260",48,15,16096,1,6,8,12,21,5,10,-30,6,2
"712",96,22,16097,6,8,18,31,33,10,12,48,7,1
"469",77,9,16098,8,9,11,20,29,4,5,-19,-13,1
"317",60,6,16099,3,4,12,14,27,1,5,-17,-3,1
"694",95,14,16100,8,12,19,26,30,2,12,35,8,2
